,index,tweet_id,health_word,rating,rating_category,text
0,0,8.117468107337236e+17,alzheimer,1,generic_health,New Alzheimer Society resources to support a move to Long Term Care- https://t.co/70iD0JchpW  @AlzCanada #OT365
1,1,8.132129762578964e+17,alzheimer,1,generic_health,What to Know About Thyroid and Alzheimer's https://t.co/q2vjLAGbzc
2,2,8.117733766539796e+17,alzheimer,1,generic_health,"Hippocampus ! If this part are damage we could get dementia or Alzheimer's 
#Farahstudy #abnormalpsychology 😂 https://t.co/7AEGS9VFhP"
3,3,9.026493306450002e+17,alzheimer,1,generic_health,How tackling hearing loss could reduce your risk of dementia | Alzheimer Society Blog - https://t.co/OAPsS9lpsV
4,4,9.055107257912074e+17,alzheimer,1,generic_health,"Finding the fun in the fog of Alzheimer’s
via @IrishTimes
https://t.co/fXykVetrnz"
5,5,9.02683660633088e+17,alzheimer,1,generic_health,Encouraging!!!  Study reveals what causes Alzheimer's and a drug that could stop it https://t.co/t6Dagrcydk via @MailOnline
6,6,9.026786639504589e+17,alzheimer,1,generic_health,"A family of 6 drowned in a van. 

2 adults (with Alzheimer's) and 4 children."
7,7,9.026899200950682e+17,alzheimer,1,generic_health,Stages of Alzheimer’s Disease and What to Expect https://t.co/d0ECr0EEGj
8,8,8.131721005927137e+17,alzheimer,1,generic_health,Taking statins for 6 months reduces risk of Alzheimer's by up to 15% #alzheimer https://t.co/sfnTwVkRlR
9,9,8.117439805348577e+17,alzheimer,1,generic_health,The Telegraph will give £1 to Alzheimer's Research UK for every share of this video https://t.co/WP5WvjaDBr
10,10,8.117417976093409e+17,alzheimer,1,generic_health,Sniff Out Alzheimer's Risk with Powerful New Smell Test #healthyliving #blog @BrainBlogger https://t.co/wnYr4uEVZ5
11,11,8.131670710853919e+17,alzheimer,1,generic_health,"Santa Forgot, narrated by Stephen Fry, Alzheimer's UK. Watch video about Santa's dementia but how research can help. https://t.co/Ca7gkIuXrC"
12,12,8.11686895922987e+17,alzheimer,1,generic_health,"It will be entirely fitting if, as seems likely, the study of Alzheimer's vastly clarifies our understanding of understanding itself. https://t.co/t7cXBSC275"
13,13,9.054890362147512e+17,alzheimer,1,generic_health,Alzheimer's Deaths Jump 55 Percent: CDC https://t.co/fetmBHfjGW
14,14,9.055267073309327e+17,alzheimer,1,generic_health,"Alzheimer's Disease and Changes in Intimacy and Sexuality https://t.co/DboA9IJ3gc #alz,#caregiver"
15,15,8.132072380011725e+17,alzheimer,1,generic_health,Does Coconut Oil or change in diet Help Alzheimer's? - Alzheimers Support https://t.co/LfV6Eo4urv
16,16,9.026833562693386e+17,alzheimer,1,generic_health,Is This The Beginning of #Alzheimer's Disease or... What City is this anyway? -   https://t.co/EOCfQafin6 https://t.co/t1PdVcM8GM
17,17,9.026521617499013e+17,alzheimer,1,generic_health,Join Zachary Haven's team for the Alzheimer's Association Walk to End Alzheimer's! https://t.co/17CVyiDYxO Donate if you can! @Zachary_Haven https://t.co/dp5EigGYyM
18,18,9.054417242349117e+17,alzheimer,1,generic_health,Scientists Use Artificial Intelligence To Spot Alzheimer's Before Onset of Symptoms https://t.co/lnucHsEQc3 https://t.co/N5jwSKQ0QR
19,19,8.132091807229542e+17,alzheimer,2,personal_health,"@teddavid @Mediaite He had Alzheimer's, which is formally recognized as a mental illness. https://t.co/RLzXSCmVOc"
20,20,8.117368020506583e+17,alzheimer,1,generic_health,"Incredible tips! It is very important for many families! Congratulations,@Shapiro50plus ! #alzheimer https://t.co/ECMu7zxN52"
21,21,8.117632897137336e+17,alzheimer,1,generic_health,Learn more about how medical marijuana eases suffering for #Alzheimer's: https://t.co/2Qu6cOYth0 https://t.co/MImUmGrvVU
22,22,8.117256384407306e+17,alzheimer,2,personal_health,Please can 2017 bring good medicine for Alzheimer's.....I don't want to lose someone that's a dad to me...
23,23,9.055251050480271e+17,alzheimer,1,generic_health,"Choosing Appropriate, Clean Clothing for the Person with Alzheimer's or Dementia - Alzheimers Support  https://t.co/fVqpgQrG8h https://t.co/ZeNWF79xFo"
24,24,9.054990926371963e+17,alzheimer,1,generic_health,Exercising can protect the brain from Alzheimer's disease -&gt; https://t.co/Yvn9zYjDS6
25,25,8.132271133985505e+17,alzheimer,1,generic_health,Awakening From Alzheimer's: How 9 Maverick Do... by Peggy Sarlin https://t.co/vc37OezK3N via @amazon
26,26,9.05483799508779e+17,alzheimer,1,generic_health,"Hope Takes on Different Meanings for Alzheimer's Caregivers https://t.co/Vt4rkDdz5U #alz,#caregiver"
27,27,8.116856260136878e+17,alzheimer,2,personal_health,That moment when you think granny went for a walk &amp; got lost because of Alzheimer's but she been in jail the whole time https://t.co/Gd3VZ9cXET
28,28,8.117081008771891e+17,alzheimer,1,generic_health,"#healthnews Newly discovered disease could hold key to Alzheimer's, Parkinson's – and even ageing... https://t.co/ilOGVdJWDR"
29,29,9.05499704561107e+17,alzheimer,1,generic_health,'Waves' of neural activity give new clues about Alzheimer's https://t.co/Xeb97iKIte https://t.co/8PhhlAoZqZ
30,30,8.117116338023301e+17,alzheimer,1,generic_health,This new research sounds promising. What could this mean for #Alzheimer patients? https://t.co/Leyazze70G https://t.co/9MfsZ1aNYG
31,31,8.117261222620856e+17,alzheimer,1,generic_health,"Memory-Loss Stops The ""Internal Clock"" for those with Alzheimer's Dementia as they lose ""sense of time"" https://t.co/KwulEbKzaW"
32,32,8.117096421830615e+17,alzheimer,1,generic_health,"Alzheimer's is a terrible, terrible way to live and a horrid way to die. It is the longest goodbye you will ever have in your life. https://t.co/X8vlFmIMwV"
33,33,8.131907892159775e+17,alzheimer,2,personal_health,nothing like watching your dad attempt a connection with the shell of your grandmother left by alzheimer's
34,34,8.116921158645228e+17,alzheimer,1,generic_health,"Newly discovered disease could hold key to Alzheimer’s, Parkinson’s – and even ageing https://t.co/942gRiw9I6 https://t.co/9Qle0pBK8p"
35,35,8.116770043912192e+17,alzheimer,1,generic_health,Check out this free learning opportunity being presented by the Alzheimer Society of Saskatchewan https://t.co/5SKwQG344D
36,36,8.117271523454484e+17,alzheimer,1,generic_health,#Zika virus could have #Alzheimer's-like effect in adults | The Independent https://t.co/BRW2d3GuVD
37,37,8.116789869799096e+17,alzheimer,1,generic_health,Why Scientists Are Still Flummoxed by Alzheimer’s https://t.co/F3CxNkvobV
38,38,8.117631319659151e+17,alzheimer,2,personal_health,"@realDonaldTrump Dad had Alzheimer's when he was 60. It does run in families. Yep, Trump is 70. 
I don't want a president with #Dementia. https://t.co/vERxVc4tJ5"
39,39,8.116789185834189e+17,alzheimer,1,generic_health,"In early stages of the disease, people with Alzheimer’s may have these symptoms. https://t.co/4fwprzpfib"
40,40,9.054644779188797e+17,alzheimer,1,generic_health,Dealing with your Parents Behaviour because of Alzheimer's -its difficult https://t.co/McDLh5KKaz
41,41,8.132128763745608e+17,alzheimer,1,generic_health,Piano teacher and students brighten Christmas at Peoria Alzheimer's center https://t.co/QULuiEOjvF
42,42,8.11757582633304e+17,alzheimer,1,generic_health,A new way to decrease Alzheimer’s #disease by larger percentages: https://t.co/tE08Gxd1R5 #Alzheimers #health #brain #working #retirement
43,43,8.131655818976379e+17,alzheimer,2,personal_health,tf RT @fubarista: Cops taser 91yo Alzheimer's patient for not going to the doctor (Video) https://t.co/t3iUiyFD7S
44,44,9.055302632323809e+17,alzheimer,2,personal_health,I would agree and add...I also think he is an old man in the early stages of Alzheimer's . https://t.co/laouTvJGkW
45,45,8.117609374598144e+17,alzheimer,1,generic_health,@TheADDF hey!! Any news on research/drugs for dementia and Alzheimer's you can share? #askalzgla
46,46,8.11685683832193e+17,alzheimer,2,personal_health,Mourning the Loss of a Friend to Alzheimer’s https://t.co/W8kBvwkCIz via @NextAvenue https://t.co/ehaXPqVr3p
47,47,9.03016184764928e+17,alzheimer,1,generic_health,Scientists Have Uncovered The Atomic Structure of a Key Alzheimer's Protein For The First Time https://t.co/XkG02m8DFF via @ScienceAlert
48,48,8.117548072539341e+17,alzheimer,1,generic_health,Emmerdale dementia episode praised by Alzheimer's Society - BBC News https://t.co/3srqeRVAnW
49,49,8.117457182475223e+17,alzheimer,1,generic_health,Alzheimer's Research UK's 'Santa Forgot' Campaign Uses Beacons to Drive Awareness https://t.co/DrARDrNeyG #iBeacon #ble #iot
50,50,8.117625954599608e+17,alzheimer,2,personal_health,"Although Alzheimer's has taken over my Nannies body, I hope to find the love she had with my grandad. Today is their anniversary of 61 yrs.💛"
51,51,9.055360912011674e+17,alzheimer,1,generic_health,Alzheimer’s Disease: Greatest Threat to Healthy Aging. #alzheimers #healthyaging #endALZ #babyboomers... https://t.co/wPnPfNSvBg
52,52,8.132245328950108e+17,alzheimer,1,generic_health,"Been listening to mom say ""all-timers"" instead of Alzheimer's for way too many years, you guys. Someone please correct her, I'll pay u"
53,53,8.117367851685315e+17,alzheimer,1,generic_health,New study confirms Alzheimer's and aluminum link can no longer be ignored https://t.co/LQKEpJ8Akt
